Disease_ID,Disease_Name,Disease_Category,Description,Protein,Carbohydrates,Fat,Fiber,Sugar,Sodium,Potassium,Calcium,Iron,Foods_To_Eat,Foods_To_Avoid,Preferred_Food_Categories,Avoid_Food_Categories,Meal_Frequency,Water_Intake_L,Exercise_Minutes,Lifestyle_Advice
1,Diabetes,Lifestyle,High blood sugar levels,Normal,Decrease,Normal,Increase,Decrease,Normal,Increase,Normal,Normal,Oats; Brown Rice; Spinach; Broccoli; Apple; Guava; Lentils; Chickpeas; Paneer; Almonds,White Bread; Cake; Pastry; Soft Drinks; Sugar; Chocolate; French Fries; Doughnut; Candy; Sweet Biscuits,Grain/Cereal; Vegetable; Fruit; Pulse/Legume; Dairy; Nut/Seed,Bakery/Snack; Beverage,5,3,30,Eat small frequent meals and avoid refined sugar.
2,Hypertension,Lifestyle,High blood pressure,Normal,Normal,Decrease,Increase,Normal,Decrease,Increase,Normal,Normal,Banana; Spinach; Oats; Brown Rice; Yogurt; Orange; Tomato; Beans; Beetroot; Garlic,Pickles; Chips; Instant Noodles; Processed Meat; Salted Snacks; Pizza; Burger; Soft Drinks; Fries; Packaged Soup,Fruit; Vegetable; Grain/Cereal; Dairy,Bakery/Snack; Beverage,5,3,30,Reduce salt intake and exercise regularly.
3,Obesity,Lifestyle,Excess body fat,Increase,Decrease,Decrease,Increase,Decrease,Normal,Normal,Normal,Normal,Oats; Apple; Guava; Broccoli; Spinach; Lentils; Chickpeas; Yogurt; Green Tea; Cucumber,Cake; Pastry; Ice Cream; Pizza; Burger; French Fries; Soft Drinks; Doughnut; White Bread; Chocolate,Fruit; Vegetable; Pulse/Legume; Dairy,Bakery/Snack; Beverage,5,3.5,45,Maintain calorie deficit and stay physically active.
4,High Cholesterol,Lifestyle,Elevated blood cholesterol,Normal,Normal,Decrease,Increase,Decrease,Normal,Normal,Normal,Normal,Oats; Almonds; Walnuts; Apple; Beans; Lentils; Spinach; Brown Rice; Olive Oil; Avocado,Butter; Cheese; Cream; Fried Chicken; Burger; Pizza; Chips; Cake; Sausage; Processed Meat,Grain/Cereal; Fruit; Vegetable; Pulse/Legume; Nut/Seed,Bakery/Snack; Meat/Fish/Egg,5,3,30,Avoid saturated and trans fats.
5,Heart Disease,Lifestyle,Reduced cardiovascular health,Normal,Normal,Decrease,Increase,Decrease,Decrease,Increase,Normal,Normal,Oats; Brown Rice; Spinach; Broccoli; Tomato; Banana; Apple; Almonds; Lentils; Yogurt,Burger; Pizza; French Fries; Chips; Butter; Processed Meat; Soft Drinks; Cake; Pastry; Sausage,Grain/Cereal; Fruit; Vegetable; Pulse/Legume; Dairy,Bakery/Snack; Beverage,5,3,30,Follow a heart-healthy diet and stay active.
6,Fatty Liver,Lifestyle,Fat accumulation in liver,Increase,Decrease,Decrease,Increase,Decrease,Normal,Normal,Normal,Normal,Oats; Brown Rice; Spinach; Broccoli; Apple; Orange; Lentils; Green Tea; Yogurt; Beetroot,Alcohol; Cake; Pastry; Soft Drinks; Sugar; White Bread; Pizza; Burger; Ice Cream; Fried Foods,Grain/Cereal; Vegetable; Fruit; Pulse/Legume,Bakery/Snack; Beverage,5,3.5,40,Reduce sugar intake and maintain healthy weight.
7,Chronic Kidney Disease,Kidney,Reduced kidney function,Decrease,Normal,Normal,Increase,Normal,Decrease,Decrease,Normal,Normal,White Rice; Cabbage; Cauliflower; Apple; Blueberries; Egg Whites; Olive Oil; Bell Pepper; Onion; Garlic,Banana; Spinach; Tomato; Potato; Orange; Processed Meat; Pickles; Salted Snacks; Soft Drinks; Instant Noodles,Grain/Cereal; Vegetable; Fruit,Processed Foods; Beverage,5,2.5,20,Limit sodium and potassium as advised.
8,Kidney Stones,Kidney,Formation of stones in kidneys,Normal,Normal,Decrease,Increase,Decrease,Decrease,Normal,Normal,Normal,Watermelon; Lemon; Orange; Cucumber; Barley; Oats; Apple; Brown Rice; Yogurt; Bottle Gourd,Soft Drinks; Excess Salt; Processed Meat; Chips; Chocolate; Spinach (excess); Instant Noodles; Fries; Pizza; Burger,Fruit; Vegetable; Grain/Cereal; Dairy,Bakery/Snack; Beverage,5,3.5,30,Drink plenty of water throughout the day.
9,Iron Deficiency Anemia,Deficiency,Low iron levels,Increase,Normal,Normal,Increase,Normal,Normal,Normal,Normal,Increase,Spinach; Beetroot; Dates; Raisins; Lentils; Chickpeas; Kidney Beans; Sesame Seeds; Apple; Guava,Tea after Meals; Coffee after Meals; Soft Drinks; Excess Processed Foods,Vegetable; Fruit; Pulse/Legume; Nut/Seed,Beverage,5,3,30,Pair iron-rich foods with vitamin C sources.
10,Vitamin D Deficiency,Deficiency,Low vitamin D levels,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Increase,Normal,Eggs; Fortified Milk; Yogurt; Mushrooms; Salmon; Tuna; Sardines; Paneer; Cheese; Butter,Soft Drinks; Highly Processed Foods; Excess Sugary Snacks,Dairy; Meat/Fish/Egg,Bakery/Snack; Beverage,4,3,30,Spend time in sunlight and consume vitamin D-rich foods.
11,Vitamin B12 Deficiency,Deficiency,Low vitamin B12 levels,Increase,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Eggs; Milk; Yogurt; Paneer; Cheese; Salmon; Tuna; Chicken; Fortified Cereals; Mushrooms,Alcohol; Highly Processed Foods; Sugary Drinks,Dairy; Meat/Fish/Egg; Grain/Cereal,Bakery/Snack; Beverage,4,3,30,Include B12-rich foods regularly and avoid excessive alcohol.
12,Calcium Deficiency,Deficiency,Low calcium levels affecting bones and teeth,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Increase,Normal,Milk; Yogurt; Paneer; Cheese; Sesame Seeds; Almonds; Broccoli; Spinach; Soy Milk; Tofu,Soft Drinks; Excess Salt; Highly Processed Foods,Dairy; Vegetable; Nut/Seed; Pulse/Legume,Bakery/Snack; Beverage,4,3,30,Include calcium-rich foods and perform weight-bearing exercise.
13,Protein Deficiency,Deficiency,Insufficient protein intake,Increase,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Normal,Eggs; Chicken; Fish; Paneer; Milk; Yogurt; Lentils; Chickpeas; Kidney Beans; Soy Chunks,Soft Drinks; Candy; Processed Snacks,Meat/Fish/Egg; Dairy; Pulse/Legume,Bakery/Snack; Beverage,5,3.5,30,Include a protein source in every meal.
